date,count,text
Jul 2012,3,Just looked @ the NEW @HoodHustlersEnt x @TrackBangas x @zephyrhats ... Y'all gonna love these!!!!!
Jul 2012,3,Hey @AwwwehAriana Tricks to browse without REGISTERING!!! http://t.co/sUZzL4pX
Jul 2012,3,Terlalu banyak duit aku.
Aug 2012,3,Don't u. Ever. Get too. Comfortable
Aug 2012,3,Watching my son crash out on the floor watching shark night #suckymovies
Aug 2012,3,I think animal testing is a terrible idea; they get all nervous and give the wrong answers.
May 2012,3,"Los que ya estamos #jvmeslaalternativa votamos diferente, votamos por Josefina."
May 2012,3,Usando http://t.co/AhMfNHot #HighFollows Muito bom msmo!
May 2012,3,@Uma_Psicopataa @Um_Psicopataaa @TroOLlei__vcS @trolldascam Vai pra la sua louca e leva esse outro ai que nao quero.. so o breno e o richard
Mar 2013,3,"‎""Na maioria das vezes não é inveja. É vontade de ser igual e não ter capacidade."" GENIAL !"
Mar 2013,3,Bored
Mar 2013,3,Thank you our 1.000 followers!
Apr 2013,3,"volvió la política pero ahora le tenemos un miedo supersticioso y precolombino a la lluvia, me quiero hacer mapuche"
Apr 2013,3,https://t.co/TDd7xibgNe
Apr 2013,3,"We should, like God, call those things that be not as though they are."
Sep 2011,2,"I jus realized I've been sayn ""mitch-match"" all this time...."
Sep 2011,2,"Watching vampire diaries --
Intense much!! 
Love it !!"
Nov 2011,2,Get the fuck up World
Nov 2011,2,"""BORA FAZER SEXO?"" ""AAAHH SÓ SE TIVER MAIS DE 30CM"" ""POR VC EU CORTO UM PEDAÇO SUA LINDA"" RSRS"
Jan 2012,2,thats true u got that rigth
Jan 2012,2,mi scoccio proprio uffa !
Jan 2011,2,"@mugpi cover with water, cook 300 degrees for 4 hours add vegetables and seasoning towards end and you should be okay"
Jan 2011,2,"Every month I will give away one free copy of Rising Kings to someone who has ""Liked"" a post on the facebook page or the website. Click it!"
Nov 2013,1,Excited sekali
Oct 2012,1,"@Cjoriginal01 jajaja si vale lo acabo de pillar, no lo perdonaron pero no cre0o que se mueraa????"
Dec 2010,1,"Gennnnnnnteeee, hoje eu fui completamente inútil ao meu país, não fiz NADA o dia inteiro hahaha"
Dec 2009,1,SOO EXCITED 4 TONIGHT!!! SOLD OUT MADISON SQUARE GARDEN!!  CANT STOP THINKING ABOUT IT!!  U GUYS DID THIS FOR ME!!  THANK U THANK U THANK U
Dec 2013,1,@ThePreCambrian @faizanlakhani dekhtey hain panch saal mein kaun ziada capacity add karta hai...punjab ya kpk..anyone willing to take a bet?
Feb 2012,1,#WhyAreYouStill trying to talk to my man. he does not want you and we already established that.
Nov 2010,1,So proud to be a Hog fan tonight!
May 2008,1,Sutiã
Aug 2010,1,"Tonight was raining like a MF here in S. Florida meaning no partying in Ft Lauderdale beach or South Beach..,BUMMER!"
Sep 2009,1,don't stop believin...sing along with me!
Aug 2013,1,El Tatuaje de @TrincheCreativa!! http://t.co/d5wX1pnhC8
Jul 2013,1,Hazme una pregunta http://t.co/MmDwAGLHCN
Jun 2012,1,Pra vc que quer ter um monte de seguidores facil. *_* Consegui aq -&gt; http://t.co/6ox9OzqE #HighFollows
Oct 2011,1,"These nights, up late, will you be? Not a plane, but Jupiter, you will see. High & bright. It is, above all, a majestic sight"
